Title,Author,Date,men,women,son,daughter,father,mother,friends,fair,joy,love,rich,god,time,dear,soul,mortal,power,pray,fate,city,house,home,woe,dead,dire,death,fear,doom,evil,wretched,poor,war
Alcestis,Euripides,438,0.00452796,0.004754358,0.006112746,0.001584786,0.005433552,0.004980756,0.002037582,0.000226398,0.00113199,0.002943174,0.000905592,0.00226398,0.002490378,0.002716776,0.000452796,0.000679194,0.000679194,0.000452796,0.00339597,0.001358388,0.01358388,0.001584786,0.00226398,0.012678288,0,0.01018791,0.000905592,0.000679194,0.000452796,0.000226398,0,0
Andromache,Euripides,424,0.004439891,0.001878415,0.008025956,0.006318306,0.003927596,0.003927596,0.002903005,0.00068306,0.000170765,0.001536885,0.000512295,0.004269126,0.001195355,0.00102459,0.000512295,0.00034153,0.00102459,0.000853825,0.000853825,0.002903005,0.006659836,0.003586066,0.003244536,0.00102459,0.000170765,0.004952186,0.001536885,0.00034153,0.00273224,0.00034153,0.001878415,0.000512295
The Bacchantes,Euripides,410,0.002928258,0.002928258,0.005693834,0.002114853,0.003090939,0.006344558,0.000488043,0.001789491,0.001464129,0.000488043,0.000162681,0.011062307,0.001789491,0.001138767,0.000813405,0.00162681,0.000650724,0.000650724,0.000813405,0.003578982,0.00325362,0.00162681,0.001464129,0.000488043,0.000162681,0.000650724,0.000325362,0.000488043,0.000488043,0.000162681,0.000813405,0.000488043
The Cyclops,Euripides,408,0.003009329,0.000601866,0.001805597,0.000300933,0.001805597,0,0.002407463,0.00210653,0.000300933,0.001504664,0.000300933,0.009629853,0.000300933,0.001203732,0,0.000300933,0.000601866,0.001504664,0,0.000902799,0.000902799,0.001203732,0.000902799,0,0,0.000601866,0,0.000300933,0.000902799,0.000300933,0.000902799,0
Electra,Euripides,410,0.001776773,0.000969149,0.00371507,0.003553545,0.009853012,0.008560814,0.003230496,0.000807624,0.000807624,0.001776773,0.000484574,0.002584397,0.001938298,0.001615248,0.000807624,0.00032305,0.000646099,0.000646099,0.001130674,0.003068971,0.006460992,0.00371507,0.001292198,0.001453723,0,0.003230496,0.001938298,0.001130674,0.000646099,0.000807624,0.002584397,0
Hecuba,Euripides,424,0.002278304,0.003154574,0.00595864,0.005257624,0.002278304,0.006309148,0.002804066,0.001226779,0.000525762,0.000701016,0.000525762,0.002278304,0.001226779,0.001577287,0.000525762,0.000525762,0.001051525,0,0.001402033,0.002628812,0.001752541,0.002628812,0.004907115,0.003154574,0,0.004907115,0.000525762,0.000876271,0.001577287,0.000876271,0.001927795,0.000175254
Helen,Euripides,412,0.002508151,0.001003261,0.002633559,0.003260597,0.002257336,0.002131929,0.002257336,0.001630298,0.001630298,0.000627038,0.000250815,0.001881114,0.001630298,0.001003261,0.000877853,0.000376223,0.000376223,0.000752445,0.001128668,0.00050163,0.002758967,0.002884374,0.003887635,0.005016303,0.000125408,0.003511412,0.000376223,0.00050163,0.001504891,0.00050163,0.001003261,0.00050163
The Heracleidae,Euripides,429,0.002819957,0.000433839,0.003253796,0.001735358,0.003687636,0.001735358,0.003253796,0.001084599,0.000867679,0.000650759,0,0.002386117,0.002603037,0,0.001301518,0.000433839,0.001735358,0.000650759,0.000867679,0.007375271,0.001735358,0.002169197,0.000867679,0.000433839,0.00021692,0.005422993,0.002603037,0.000867679,0.001301518,0.00021692,0.000867679,0.000650759
Heracles,Euripides,416,0.002979457,0,0.007840677,0.000784068,0.007683864,0.002352203,0.004390779,0.00219539,0.001254508,0.001724949,0.000156814,0.002822644,0.001724949,0.001411322,0.000627254,0.000940881,0.000940881,0.000470441,0.001568135,0.003606712,0.005488474,0.000940881,0.002822644,0.003763525,0.000313627,0.005958915,0.000627254,0.000313627,0.001411322,0.000470441,0.001568135,0.000313627
Hippolytus,Euripides,428,0.004677268,0.002338634,0.005456813,0.001091363,0.00592454,0.001559089,0.003118179,0.000935454,0.000935454,0.007171812,0,0.002182725,0.001403181,0.001403181,0.002338634,0.001091363,0.000623636,0.000935454,0.001714998,0.000623636,0.005300904,0.002182725,0.004833177,0.002182725,0.000155909,0.004209542,0.000779545,0.000155909,0.002806361,0.000311818,0.002806361,0.000155909
