Title,Author,Date
Alcestis,Euripides,438
Andromache,Euripides,428-424
The Bacchantes,Euripides,410
The Cyclops,Euripides,408
Electra,Euripides,420-410
Hecuba,Euripides,424
Helen,Euripides,412
The Heracleidae,Euripides,429
Heracles,Euripides,421-416
Hippolytus,Euripides,428
Ion,Euripides,414-412
Iphigenia At Aulis,Euripides,410
Iphigenia in Tauris,Euripides,414-412
Medea,Euripides,431
Orestes,Euripides,408
The Phoenissae,Euripides,411-409
Rhesus,Euripides,450
The Suppliants,Euripides,422
The Trojan Women,Euripides,415
